execution_id,job_id,job_name,job_type,scheduled_hour,day_of_week,start_delay_minutes,previous_success_count,previous_failure_count,average_runtime_minutes,expected_data_volume,cpu_usage_percent,memory_usage_percent,dependency_status,job_status
1,JOB016,WAREHOUSE_UPDATE,Synchronization,6,Monday,14,23,7,64,84041,82,35,Delayed,Failed
2,JOB007,CUSTOMER_REPORT,Backup,19,Tuesday,11,14,5,92,364669,82,51,Not Ready,Failed
3,JOB012,DATABASE_BACKUP,Data Processing,14,Saturday,3,27,1,119,9977,29,44,Ready,Success
4,JOB015,DAILY_ANALYTICS,Data Transfer,10,Sunday,29,8,5,106,380693,24,56,Ready,Success
5,JOB002,MONTHLY_PAYROLL,Backup,7,Tuesday,30,2,4,21,295737,72,56,Not Ready,Failed
6,JOB006,FINANCE_REPORT,Synchronization,20,Thursday,11,22,2,61,484774,47,54,Ready,Success
7,JOB010,ORDER_PROCESSING,Synchronization,6,Friday,17,8,0,35,463970,84,64,Delayed,Success
8,JOB001,DAILY_SALES,Synchronization,18,Wednesday,16,17,6,96,203337,64,27,Ready,Failed
9,JOB002,MONTHLY_PAYROLL,Data Processing,22,Wednesday,18,3,1,69,134795,85,66,Not Ready,Failed
10,JOB018,VENDOR_DATA_SYNC,Synchronization,10,Thursday,15,18,0,70,272917,68,55,Ready,Success
11,JOB017,INVOICE_PROCESSING,Data Transfer,10,Tuesday,10,23,0,37,181582,59,29,Ready,Success
12,JOB016,WAREHOUSE_UPDATE,Reporting,23,Wednesday,1,3,6,108,199373,85,20,Ready,Success
13,JOB006,FINANCE_REPORT,Data Transfer,20,Tuesday,15,8,0,97,427788,27,87,Ready,Success
14,JOB015,DAILY_ANALYTICS,Data Processing,3,Saturday,0,0,8,8,211675,46,94,Delayed,Success
15,JOB014,MASTER_DATA_SYNC,Data Processing,7,Thursday,16,0,5,86,203257,36,34,Ready,Failed
16,JOB003,INVENTORY_UPDATE,Data Transfer,23,Sunday,17,19,3,59,347794,87,22,Ready,Failed
17,JOB009,STOCK_UPDATE,Data Transfer,2,Tuesday,28,18,3,28,432975,63,51,Ready,Success
18,JOB008,SALES_REPORT,Data Transfer,21,Saturday,28,2,4,36,489092,50,39,Ready,Failed
19,JOB007,CUSTOMER_REPORT,Data Processing,20,Tuesday,24,9,1,77,15539,24,75,Ready,Success
20,JOB014,MASTER_DATA_SYNC,Synchronization,1,Tuesday,28,11,4,51,303737,79,61,Not Ready,Failed
21,JOB005,BACKUP_JOB,Data Processing,23,Wednesday,12,17,1,20,177094,38,92,Ready,Success
22,JOB019,SYSTEM_MONITORING,Synchronization,11,Monday,4,13,3,25,361590,61,79,Delayed,Failed
23,JOB015,DAILY_ANALYTICS,Data Transfer,5,Friday,24,9,9,98,126114,42,75,Ready,Success
24,JOB011,EMPLOYEE_DATA_SYNC,Synchronization,1,Tuesday,23,9,4,71,356815,36,66,Not Ready,Failed
25,JOB002,MONTHLY_PAYROLL,Backup,20,Tuesday,28,17,5,101,126049,77,43,Ready,Failed
26,JOB005,BACKUP_JOB,Reporting,0,Tuesday,26,23,5,35,323909,68,60,Delayed,Failed
27,JOB005,BACKUP_JOB,Synchronization,11,Monday,5,0,8,113,239691,22,23,Ready,Success
28,JOB003,INVENTORY_UPDATE,Reporting,21,Saturday,0,29,3,18,165123,64,95,Delayed,Success
29,JOB012,DATABASE_BACKUP,Data Transfer,11,Sunday,9,14,4,10,97782,54,70,Ready,Success
30,JOB002,MONTHLY_PAYROLL,Reporting,16,Sunday,4,7,5,73,476519,21,20,Ready,Success
31,JOB002,MONTHLY_PAYROLL,Backup,9,Thursday,27,25,3,33,444946,66,33,Delayed,Success
32,JOB012,DATABASE_BACKUP,Data Processing,15,Wednesday,0,2,5,59,357128,22,29,Ready,Success
33,JOB005,BACKUP_JOB,Reporting,14,Monday,22,17,1,41,479081,48,55,Delayed,Failed
34,JOB016,WAREHOUSE_UPDATE,Data Processing,14,Saturday,25,8,6,63,439458,93,61,Ready,Success
35,JOB012,DATABASE_BACKUP,Data Processing,18,Tuesday,29,15,2,40,475119,39,67,Ready,Failed
36,JOB001,DAILY_SALES,Synchronization,11,Saturday,10,20,9,89,198231,53,37,Ready,Success
37,JOB015,DAILY_ANALYTICS,Reporting,22,Monday,23,14,3,80,34312,59,95,Ready,Failed
38,JOB001,DAILY_SALES,Synchronization,19,Monday,23,29,8,114,270730,84,79,Ready,Failed
39,JOB013,LOG_CLEANUP,Reporting,2,Monday,6,4,4,63,345977,82,47,Not Ready,Success
40,JOB016,WAREHOUSE_UPDATE,Backup,4,Thursday,17,12,8,91,388161,75,72,Delayed,Failed
41,JOB019,SYSTEM_MONITORING,Backup,18,Friday,20,21,9,82,347607,51,28,Ready,Failed
42,JOB010,ORDER_PROCESSING,Synchronization,6,Wednesday,19,19,9,68,455292,85,43,Ready,Failed
43,JOB005,BACKUP_JOB,Data Transfer,20,Thursday,20,6,9,47,456615,60,39,Delayed,Failed
44,JOB015,DAILY_ANALYTICS,Data Processing,8,Thursday,9,15,9,46,373635,48,88,Not Ready,Failed
45,JOB019,SYSTEM_MONITORING,Data Processing,6,Friday,24,6,5,78,412347,70,46,Ready,Failed
46,JOB018,VENDOR_DATA_SYNC,Reporting,17,Thursday,14,26,7,64,248923,31,59,Ready,Success
47,JOB016,WAREHOUSE_UPDATE,Backup,3,Monday,3,24,4,66,16020,63,90,Ready,Success
48,JOB003,INVENTORY_UPDATE,Synchronization,13,Monday,15,21,4,68,468987,29,73,Delayed,Failed
49,JOB007,CUSTOMER_REPORT,Data Transfer,17,Saturday,14,15,2,95,99170,93,34,Ready,Success
50,JOB011,EMPLOYEE_DATA_SYNC,Reporting,8,Tuesday,14,12,6,109,322667,28,70,Ready,Success
51,JOB007,CUSTOMER_REPORT,Backup,20,Thursday,11,16,1,62,338187,48,88,Ready,Failed
52,JOB014,MASTER_DATA_SYNC,Data Transfer,1,Tuesday,7,8,2,6,64477,48,59,Ready,Success
53,JOB005,BACKUP_JOB,Data Transfer,19,Wednesday,7,11,1,82,248137,80,88,Ready,Success
54,JOB002,MONTHLY_PAYROLL,Synchronization,14,Sunday,17,12,7,75,356564,83,62,Delayed,Failed
55,JOB013,LOG_CLEANUP,Synchronization,6,Monday,29,25,3,85,203316,22,83,Ready,Failed
56,JOB001,DAILY_SALES,Backup,11,Saturday,5,8,9,88,91334,23,26,Delayed,Failed
57,JOB019,SYSTEM_MONITORING,Synchronization,7,Wednesday,4,4,7,12,202139,74,21,Delayed,Success
58,JOB017,INVOICE_PROCESSING,Reporting,14,Saturday,1,6,7,60,195173,33,49,Ready,Success
59,JOB015,DAILY_ANALYTICS,Data Processing,2,Sunday,11,0,7,88,425998,47,94,Ready,Failed
60,JOB006,FINANCE_REPORT,Reporting,13,Sunday,25,3,7,40,111918,82,71,Ready,Failed
61,JOB016,WAREHOUSE_UPDATE,Reporting,16,Friday,3,27,7,73,293048,58,52,Ready,Success
62,JOB014,MASTER_DATA_SYNC,Data Transfer,3,Monday,22,25,8,17,85073,83,28,Ready,Failed
63,JOB004,DATA_TRANSFER,Backup,17,Wednesday,12,3,1,43,233075,79,30,Delayed,Failed
64,JOB006,FINANCE_REPORT,Backup,7,Friday,16,15,8,106,217312,39,95,Ready,Success
65,JOB004,DATA_TRANSFER,Data Transfer,3,Sunday,30,4,7,85,460318,47,29,Ready,Success
66,JOB005,BACKUP_JOB,Reporting,1,Wednesday,15,21,9,10,222813,33,73,Ready,Success
67,JOB003,INVENTORY_UPDATE,Reporting,5,Saturday,8,3,0,23,492357,94,94,Ready,Failed
68,JOB009,STOCK_UPDATE,Data Processing,21,Friday,25,5,4,29,429719,77,39,Delayed,Failed
69,JOB017,INVOICE_PROCESSING,Data Processing,9,Friday,27,25,1,7,252233,58,24,Delayed,Success
